user_id,cluster_km
3157,1
5415,4
8199,2
8215,2
10202,1
11636,2
13862,1
13983,2
15700,0
16053,1
16565,1
17262,2
18494,0
18715,0
22612,2
22918,5
23457,0
24148,5
24270,5
26301,0
32584,2
33203,1
33689,0
34911,1
37110,5
37617,2
38098,1
39383,2
39731,1
40869,1
47961,1
50400,2
50985,5
52103,5
52220,2
52701,0
53865,2
54405,2
56016,3
57426,1
58790,0
59122,1
61099,2
62625,1
63283,5
64771,0
65137,5
65309,2
67283,1
67991,3
68189,5
68381,2
68446,0
69132,3
76759,1
76872,1
77755,2
84626,3
85866,2
90630,5
91609,5
92152,1
93054,2
93939,1
94841,1
95113,2
95296,1
95950,2
95955,3
97152,0
97411,1
99012,4
100310,1
102238,1
103251,2
106240,0
109144,0
111697,1
113141,1
113239,1
113350,2
114515,0
115723,2
118363,0
119279,5
124714,2
129337,2
129452,1
130216,1
133022,1
137526,2
138816,0
143642,0
145408,0
145803,0
145990,5
148750,2
151866,0
152732,0
153269,0
154062,5
155697,5
156093,2
157163,0
157356,2
163414,1
166080,0
166238,0
166912,5
167451,0
171103,1
173473,5
175664,0
177996,3
179519,0
179873,1
183363,2
183837,2
194340,4
195981,3
196224,3
200873,1
201822,0
202333,2
205750,0
206728,3
207578,1
208206,2
209489,2
215848,3
217800,2
218539,1
218811,2
219289,5
226518,1
227421,1
227842,1
231254,4
232337,2
236694,5
241653,2
242125,2
242569,2
242887,0
243758,3
243875,1
244734,2
247238,1
248944,1
250815,2
251416,2
252132,4
253756,0
258040,1
264722,5
265057,2
265402,2
265446,1
266939,5
271069,1
271995,5
272749,5
273924,0
275722,2
276717,1
278366,3
281697,5
281833,1
282888,2
284527,1
285315,3
287836,2
289480,5
293275,0
293909,5
294054,2
294906,4
295293,1
295407,0
295792,1
300729,0
301358,0
302619,1
303761,2
306811,2
310422,2
311817,5
315042,2
321561,4
321569,2
321909,5
322691,1
323653,1
324368,4
324723,0
328649,2
332072,1
332753,1
333086,1
336768,2
337708,5
337972,2
338875,2
343566,0
344308,1
345413,1
345595,1
347183,2
348438,2
361016,1
361481,2
362917,2
364070,2
368894,2
369124,1
370655,1
370856,0
373233,2
375755,1
376405,2
376495,2
376825,4
377217,1
378654,2
380665,1
381062,2
390643,2
391187,2
392658,1
392713,3
393244,2
395729,0
398341,2
402586,0
404486,1
406222,5
407476,2
412511,0
416035,0
416706,1
417555,2
418740,2
422354,4
422568,2
426471,2
435301,0
437961,0
438980,1
442337,1
442871,2
442924,0
444969,2
445097,2
446218,1
449033,2
452905,2
454577,1
456264,4
460490,1
464750,2
467510,1
469427,2
469611,1
471349,4
472620,2
474814,4
480386,2
482055,4
482205,1
482400,5
483777,2
487003,2
488024,1
490572,1
491304,2
492271,2
492997,3
